Benchmark,(size),Mode,Cnt,Score,Error,Units
BenchmarkMatrix.testNaive:·gc.alloc.rate,1000,avgt,5,0.897,±,0.494,MB/sec
BenchmarkMatrix.testNaive:·gc.alloc.rate.norm,1000,avgt,5,8020267.200,±,338.927,B/op
BenchmarkMatrix.testNaive:·gc.count,1000,avgt,5,≈,0,counts
BenchmarkMatrix.testNaive:·stack,1000,avgt,NaN,---
BenchmarkMatrix.testNaive,1500,avgt,5,68872.869,±,34380.955,ms/op
BenchmarkMatrix.testNaive:·gc.alloc.rate,1500,avgt,5,0.252,±,0.140,MB/sec
BenchmarkMatrix.testNaive:·gc.alloc.rate.norm,1500,avgt,5,18043747.200,±,72383.406,B/op
BenchmarkMatrix.testNaive:·gc.churn.G1_Eden_Space,1500,avgt,5,0.874,±,6.430,MB/sec
BenchmarkMatrix.testNaive:·gc.churn.G1_Eden_Space.norm,1500,avgt,5,68786585.600,±,514877873.089,B/op
BenchmarkMatrix.testNaive:·gc.churn.G1_Survivor_Space,1500,avgt,5,0.028,±,0.238,MB/sec
BenchmarkMatrix.testNaive:·gc.churn.G1_Survivor_Space.norm,1500,avgt,5,1937267.200,±,16680454.836,B/op
BenchmarkMatrix.testNaive:·gc.count,1500,avgt,5,2.000,counts
BenchmarkMatrix.testNaive:·gc.time,1500,avgt,5,19.000,ms
BenchmarkMatrix.testNaive:·stack,1500,avgt,NaN,---
BenchmarkMatrix.testStrassen,10,avgt,5,0.314,±,0.119,ms/op
BenchmarkMatrix.testStrassen:·gc.alloc.rate,10,avgt,5,318.765,±,111.541,MB/sec
BenchmarkMatrix.testStrassen:·gc.alloc.rate.norm,10,avgt,5,109528.947,±,2.110,B/op
BenchmarkMatrix.testStrassen:·gc.churn.G1_Eden_Space,10,avgt,5,315.138,±,142.266,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.G1_Eden_Space.norm,10,avgt,5,108122.856,±,21597.969,B/op
BenchmarkMatrix.testStrassen:·gc.churn.G1_Survivor_Space,10,avgt,5,0.002,±,0.002,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.G1_Survivor_Space.norm,10,avgt,5,0.555,±,0.501,B/op
BenchmarkMatrix.testStrassen:·gc.count,10,avgt,5,56.000,counts
BenchmarkMatrix.testStrassen:·gc.time,10,avgt,5,90.000,ms
BenchmarkMatrix.testStrassen:·stack,10,avgt,NaN,---
BenchmarkMatrix.testStrassen,100,avgt,5,116.774,±,25.664,ms/op
BenchmarkMatrix.testStrassen:·gc.alloc.rate,100,avgt,5,372.512,±,80.806,MB/sec
BenchmarkMatrix.testStrassen:·gc.alloc.rate.norm,100,avgt,5,47796447.019,±,1948.862,B/op
BenchmarkMatrix.testStrassen:·gc.churn.G1_Eden_Space,100,avgt,5,374.293,±,63.525,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.G1_Eden_Space.norm,100,avgt,5,48064982.650,±,5270107.602,B/op
BenchmarkMatrix.testStrassen:·gc.churn.G1_Survivor_Space,100,avgt,5,0.043,±,0.066,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.G1_Survivor_Space.norm,100,avgt,5,5520.686,±,8997.011,B/op
BenchmarkMatrix.testStrassen:·gc.count,100,avgt,5,67.000,counts
BenchmarkMatrix.testStrassen:·gc.time,100,avgt,5,112.000,ms
BenchmarkMatrix.testStrassen:·stack,100,avgt,NaN,---
BenchmarkMatrix.testStrassen,500,avgt,5,5709.752,±,1839.010,ms/op
BenchmarkMatrix.testStrassen:·gc.alloc.rate,500,avgt,5,411.818,±,125.029,MB/sec
BenchmarkMatrix.testStrassen:·gc.alloc.rate.norm,500,avgt,5,2563086432.000,±,69231.963,B/op
BenchmarkMatrix.testStrassen:·gc.churn.G1_Eden_Space,500,avgt,5,415.802,±,126.230,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.G1_Eden_Space.norm,500,avgt,5,2587885568.000,±,0.001,B/op
BenchmarkMatrix.testStrassen:·gc.churn.G1_Survivor_Space,500,avgt,5,0.495,±,0.169,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.G1_Survivor_Space.norm,500,avgt,5,3083151.200,±,445110.285,B/op
BenchmarkMatrix.testStrassen:·gc.count,500,avgt,5,70.000,counts
BenchmarkMatrix.testStrassen:·gc.time,500,avgt,5,167.000,ms
BenchmarkMatrix.testStrassen:·stack,500,avgt,NaN,---
BenchmarkMatrix.testStrassen,1000,avgt,5,27460.544,±,3213.663,ms/op
BenchmarkMatrix.testStrassen:·gc.alloc.rate,1000,avgt,5,614.312,±,70.558,MB/sec
BenchmarkMatrix.testStrassen:·gc.alloc.rate.norm,1000,avgt,5,18001343582.400,±,42473.961,B/op
BenchmarkMatrix.testStrassen:·gc.churn.G1_Eden_Space,1000,avgt,5,618.185,±,72.996,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.G1_Eden_Space.norm,1000,avgt,5,18116037836.800,±,1062605378.157,B/op
BenchmarkMatrix.testStrassen:·gc.churn.G1_Survivor_Space,1000,avgt,5,1.809,±,0.489,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.G1_Survivor_Space.norm,1000,avgt,5,52994168.000,±,11303621.848,B/op
BenchmarkMatrix.testStrassen:·gc.count,1000,avgt,5,156.000,counts
BenchmarkMatrix.testStrassen:·gc.time,1000,avgt,5,484.000,ms
BenchmarkMatrix.testStrassen:·stack,1000,avgt,NaN,---
BenchmarkMatrix.testStrassen,1500,avgt,5,222983.120,±,183344.786,ms/op
BenchmarkMatrix.testStrassen:·gc.alloc.rate,1500,avgt,5,441.363,±,355.895,MB/sec
