Benchmark,(nThreads),(size),Mode,Cnt,Score,Error
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,2,512,avgt,5,50.363,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,2,512,avgt,5,3553510.188,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,2,512,avgt,5,0.027,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,2,512,avgt,5,1323.244,±
BenchmarkThreads.testThreads:·gc.count,2,512,avgt,5,9.000,counts
BenchmarkThreads.testThreads:·gc.time,2,512,avgt,5,13.000,ms
BenchmarkThreads.testThreads:·stack,2,512,avgt,NaN,---
BenchmarkThreads.testThreads,4,64,avgt,5,0.547,±
BenchmarkThreads.testThreads:·gc.alloc.rate,4,64,avgt,5,74.319,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,4,64,avgt,5,44814.191,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,4,64,avgt,5,7959.270,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,4,64,avgt,5,4799729.011,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,4,64,avgt,5,0.017,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,4,64,avgt,5,10.043,±
BenchmarkThreads.testThreads:·gc.count,4,64,avgt,5,469.000,counts
BenchmarkThreads.testThreads:·gc.time,4,64,avgt,5,525.000,ms
BenchmarkThreads.testThreads:·stack,4,64,avgt,NaN,---
BenchmarkThreads.testThreads,4,128,avgt,5,2.107,±
BenchmarkThreads.testThreads:·gc.alloc.rate,4,128,avgt,5,65.768,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,4,128,avgt,5,151675.278,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,4,128,avgt,5,2243.125,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,4,128,avgt,5,5174482.600,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,4,128,avgt,5,0.048,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,4,128,avgt,5,112.146,±
BenchmarkThreads.testThreads:·gc.count,4,128,avgt,5,226.000,counts
BenchmarkThreads.testThreads:·gc.time,4,128,avgt,5,366.000,ms
BenchmarkThreads.testThreads:·stack,4,128,avgt,NaN,---
BenchmarkThreads.testThreads,4,256,avgt,5,5.966,±
BenchmarkThreads.testThreads:·gc.alloc.rate,4,256,avgt,5,85.833,±
