BenchmarkMatrix.testThreads:·gc.churn.G1_Survivor_Space,64,avgt,5,0.036,±,0.022
BenchmarkMatrix.testThreads:·gc.churn.G1_Survivor_Space.norm,64,avgt,5,66.278,±,28.861
BenchmarkMatrix.testThreads:·gc.count,64,avgt,5,602.000,counts
BenchmarkMatrix.testThreads:·gc.time,64,avgt,5,731.000,ms
BenchmarkMatrix.testThreads:·stack,64,avgt,NaN,---
BenchmarkMatrix.testThreads,128,avgt,5,2.130,±,0.278
BenchmarkMatrix.testThreads:·gc.alloc.rate,128,avgt,5,67.587,±,8.482
BenchmarkMatrix.testThreads:·gc.alloc.rate.norm,128,avgt,5,158616.599,±,36.969
BenchmarkMatrix.testThreads:·gc.churn.G1_Eden_Space,128,avgt,5,9033.607,±,1293.552
BenchmarkMatrix.testThreads:·gc.churn.G1_Eden_Space.norm,128,avgt,5,21201217.335,±,1566040.455
BenchmarkMatrix.testThreads:·gc.churn.G1_Survivor_Space,128,avgt,5,0.061,±,0.046
BenchmarkMatrix.testThreads:·gc.churn.G1_Survivor_Space.norm,128,avgt,5,144.263,±,122.938
BenchmarkMatrix.testThreads:·gc.count,128,avgt,5,548.000,counts
BenchmarkMatrix.testThreads:·gc.time,128,avgt,5,654.000,ms
BenchmarkMatrix.testThreads:·stack,128,avgt,NaN,---
BenchmarkMatrix.testThreads,256,avgt,5,5.419,±,6.223
BenchmarkMatrix.testThreads:·gc.alloc.rate,256,avgt,5,100.239,±,82.022
BenchmarkMatrix.testThreads:·gc.alloc.rate.norm,256,avgt,5,568892.046,±,168.892
BenchmarkMatrix.testThreads:·gc.churn.G1_Eden_Space,256,avgt,5,3402.183,±,2365.033
BenchmarkMatrix.testThreads:·gc.churn.G1_Eden_Space.norm,256,avgt,5,19470852.404,±,3988661.646
BenchmarkMatrix.testThreads:·gc.churn.G1_Survivor_Space,256,avgt,5,0.099,±,0.131
BenchmarkMatrix.testThreads:·gc.churn.G1_Survivor_Space.norm,256,avgt,5,573.688,±,686.511
BenchmarkMatrix.testThreads:·gc.count,256,avgt,5,272.000,counts
BenchmarkMatrix.testThreads:·gc.time,256,avgt,5,418.000,ms
BenchmarkMatrix.testThreads:·stack,256,avgt,NaN,---
BenchmarkMatrix.testThreads,512,avgt,5,23.610,±,2.705
BenchmarkMatrix.testThreads:·gc.alloc.rate,512,avgt,5,83.687,±,9.069
BenchmarkMatrix.testThreads:·gc.alloc.rate.norm,512,avgt,5,2175994.857,±,391.236
BenchmarkMatrix.testThreads:·gc.churn.G1_Eden_Space,512,avgt,5,504.500,±,75.916
BenchmarkMatrix.testThreads:·gc.churn.G1_Eden_Space.norm,512,avgt,5,13126074.543,±,2401013.173
BenchmarkMatrix.testThreads:·gc.churn.G1_Survivor_Space,512,avgt,5,0.393,±,1.271
BenchmarkMatrix.testThreads:·gc.churn.G1_Survivor_Space.norm,512,avgt,5,10145.454,±,32410.625
BenchmarkMatrix.testThreads:·gc.count,512,avgt,5,90.000,counts
BenchmarkMatrix.testThreads:·gc.time,512,avgt,5,150.000,ms
BenchmarkMatrix.testThreads:·stack,512,avgt,NaN,---
